잠잠한
친근한
깐깐한
근사한
우직한
가득한
석연한
까마득한
애틋한
단명한
알딸딸한
밍밍한
달짜근한
고소한
맹맹한
어련한
경청한
낭랑한
퀴퀴한
부루퉁한
불편한
고소한
터프한
막막한
믿음직한
청초한
넓직한
묘한
은밀한
은은한
매정한
친절한
쌩한
간략한
가칠한
감사한
슴슴한
가만한
현명한
전무한
메케한
딴딴한
거뜬한
톡톡한
쪼그마한
어수선한
넓적한
민망한
고단한
고유한
연연한
인자한
빡빡한
강한
유치한
조급한
무료한
갑갑한
훈훈한
고귀한
아렴풋한
어수룩한
숭고한
거나한
깨끗한
신통한
미진한
삼삼한
영원한
적나라한
섭섭한
캄캄한
마땅한
충실한
수수한
단단한
심난한
미지근한
말캉한
열렬한
무방한
짤막한
흉한
발칙한
교활한
불리한
착실한
대단한
부단한
시장한
기발한
신통한
탐탁한
순수한
떨떨한
경청한
진득한
기름한
평안한
출중한
간편한
처연한
세세한
묘한
흉한
꿋꿋한
이상한
섬뜩한
선한
역연한
휑한
격한
정중한
애잔한
비참한
어색한
적당한
귀한
팍팍한
용감한
단단한
부적절한
방자한
후한
단단한
침착한
완전한
홀쪽한
조출한
찌뿌둥한
무지한
긴밀한
해박한
만만한
신통한
느슨한
시극한
확고한
정한
두둑한
박한
희귀한
날씬한
순한
괴망한
짭짤한
담백한
여전한
훤한
혼란한
짭조름한
불공정한
엄중한
악한
뭉클한
끈적한
엄한
완벽한
예리한
습한
온한
격렬한
갸륵한
허적한
측은한
단란한
지극한
허망한
눅눅한
느른한
원통한
후줄근한
스산한
미흡한
태연한
비슥한
민첩한
뜨끔한
얍삽한
바지런한
고고한
깜찍한
심심한
안일한
만연한
쾌적한
멍한
깊숙한
찬란한
할끔한
얌전한
일정한
넉넉한
무탈한
엄숙한
미묘한
낭자한
미묘한
떠들썩한
의합한
절절한
허전한
귀중한
섬세한
경한
충만한
광활한
째째한
허탈한
화사한
아무러한
쌩한
밍근한
띨띨한
찌뿌듯한
창백한
정직한
능한
침침한
괴괴한
으스스한
무던한
무모한
주요한
비범한
미약한
찌뿌둥한
다고한
장황한
절묘한
판이한
친숙한
찬찬한
뽀로통한
끔찍한
다분한
뻣뻣한
툭한
무수한
친밀한
거창한
엄한
스마트한
여상한
달곰한
세심한
애절한
너저분한
무난한
선연한
과도한
골똘한
괴상한
대범한
덤덤한
여차한
아담한
신속한
실한
맹근한
어수선한
조악한
우세한
빈곤한
따듯한
뽀송한
나태한
냉혹한
밋밋한
상당한
뜸직한
경미한
오뚝한
떨떠름한
꽹한
중한
